restaurant_id,name,cuisine,address,taxi_zone_id,taxi_zone_name,estimated_area_sqft,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,effective_supply_index,dropoff_count,effective_demand,congestion_score,estimated_wait_minutes,nyc_datetime,weather_factor
50170276,BRIDGEWATER,American,"295 5 AVENUE, MANHATTAN, NY 10016",164,Midtown South,694.5,41.67,1.2,0.2,0.8,40.0032,745,22.16874256874238,0.5541742302801371,0.0,,
50128573,LAO JIE HOTPOT,Chinese,"105 BOWERY, MANHATTAN, NY 10002",148,Lower East Side,600.2666666666668,36.016000000000005,1.2,0.3,0.7,30.253440000000005,434,14.416450382310098,0.47652268245561813,0.0,,
50128774,POLLO CAMPERO,Chicken,"966 6 AVENUE, MANHATTAN, NY 10018",164,Midtown South,2060.0,138.02,2.0,0.5,0.5,138.02,745,15.22106617545693,0.11028159814126162,0.0,,
50108890,SPIKE'S,American,"218 AVENUE A, MANHATTAN, NY 10009",79,East Village,1630.0,97.8,1.2,0.2,0.8,93.888,723,17.278494418697996,0.18403304382560065,0.0,,
50139464,FUKU OMAKASE,Japanese,"104 WASHINGTON PLACE, MANHATTAN, NY 10014",249,West Village,300.0,16.5,1.0,0.15,0.85,14.025,652,24.595674817917587,1.7537023043078492,9.31363572819006,,
50146521,MODERN TEA & SALAD,Coffee/Tea,"302 WEST   39 STREET, MANHATTAN, NY 10018",48,Clinton East,5635.0,467.705,3.0,0.7,0.3,420.9345000000001,1024,12.441360785704637,0.029556524318402586,0.0,,
50099434,NOWON,Korean,"507 EAST    6 STREET, MANHATTAN, NY 10009",79,East Village,400.0,22.0,1.0,0.15,0.85,18.7,723,18.137150135992098,0.9699010767910213,0.7003162391071731,,
50148984,POPEYES,Chicken,"240 WEST   40 STREET, MANHATTAN, NY 10018",100,Garment District,768.15,51.46605,2.0,0.5,0.5,51.46605,539,18.428287439633642,0.35806687009462823,0.0,,
50118380,LE PHIN,American,"259 EAST   10 STREET, MANHATTAN, NY 10009",79,East Village,2760.0,165.6,1.2,0.2,0.8,158.976,723,17.278494418697996,0.10868618167961198,0.0,,
50165224,BREAD AND BUTTER,American,"401 EAST   34 STREET, MANHATTAN, NY 10016",233,UN/Turtle Bay South,8000.0,480.0,1.2,0.2,0.8,460.8,384,52.359280592824526,0.11362691100873377,0.0,,
50165405,EL TABLON LATINO CORP,Latin American,"300 AUDUBON AVENUE, MANHATTAN, NY 10033",243,Washington Heights North,3000.0,180.0,1.2,0.2,0.8,172.8,79,8.833237504943419,0.05111827259805219,0.0,,
41497741,DONNA MARGHERITIA,Italian,"1304A 2 AVENUE, MANHATTAN, NY 10065",141,Lenox Hill West,470.1333333333334,25.857333333333337,1.0,0.1,0.9,23.271600000000003,644,45.93348683209711,1.9738001182599005,12.717191860193848,,
50100671,SONG BO YUAN,Chinese,"36 ELDRIDGE STREET, MANHATTAN, NY 10002",148,Lower East Side,8000.0,480.0,1.2,0.3,0.7,403.2,434,14.416450382310098,0.035755085273586555,0.0,,
